,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-01-02 06:00:00+00:00,1,0,60,0,8,0,0,1,0,0
2023-01-02 06:10:00+00:00,0,1,79,0,9,0,0,0,0,0
2023-01-02 06:20:00+00:00,0,0,101,0,13,0,0,0,0,0
2023-01-02 06:30:00+00:00,0,0,83,0,6,0,0,0,0,0
2023-01-02 06:40:00+00:00,0,0,71,0,8,0,0,0,0,0
2023-01-02 06:50:00+00:00,0,0,82,0,10,0,0,1,0,0
2023-01-02 07:00:00+00:00,0,0,72,0,14,0,0,0,0,0
2023-01-02 07:10:00+00:00,1,0,71,2,6,0,0,1,0,0
2023-01-02 07:20:00+00:00,0,0,64,0,13,0,0,0,0,1
2023-01-02 07:30:00+00:00,1,0,71,0,4,0,0,1,0,0
2023-01-02 07:40:00+00:00,0,0,77,0,3,0,0,0,0,0
2023-01-02 07:50:00+00:00,0,0,53,0,8,0,0,0,0,0
2023-01-02 08:00:00+00:00,0,0,58,0,7,0,0,0,0,0
2023-01-02 08:10:00+00:00,0,0,62,0,5,0,1,0,0,0
2023-01-02 08:20:00+00:00,0,0,67,0,5,0,0,0,0,0
2023-01-02 08:30:00+00:00,1,0,68,0,8,0,0,4,0,0
2023-01-02 08:40:00+00:00,0,0,65,1,14,0,0,0,0,0
2023-01-02 08:50:00+00:00,1,0,61,1,6,0,0,0,0,0
2023-01-02 09:00:00+00:00,0,0,51,0,16,0,0,0,0,0
2023-01-02 09:10:00+00:00,0,0,58,0,19,0,0,0,0,0
2023-01-02 09:20:00+00:00,0,0,59,0,8,0,0,1,0,0
2023-01-02 09:30:00+00:00,0,0,59,0,9,0,1,0,0,1
2023-01-02 09:40:00+00:00,0,0,57,0,12,0,0,0,0,0
2023-01-02 09:50:00+00:00,0,0,75,1,10,0,0,0,0,0
2023-01-02 10:00:00+00:00,0,0,62,0,9,0,0,0,0,0
2023-01-02 10:10:00+00:00,0,0,69,0,6,0,0,0,0,0
2023-01-02 10:20:00+00:00,1,0,58,0,6,0,0,1,0,0
2023-01-02 10:30:00+00:00,0,0,67,0,5,1,0,0,0,0
2023-01-02 10:40:00+00:00,0,0,67,0,8,1,0,0,0,0
2023-01-02 10:50:00+00:00,0,0,68,0,6,0,0,0,0,0
2023-01-02 11:00:00+00:00,0,0,65,0,0,0,0,0,0,0
2023-01-02 11:10:00+00:00,0,0,64,0,10,1,0,0,1,0
2023-01-02 11:20:00+00:00,0,0,64,0,7,0,0,0,0,0
2023-01-02 11:30:00+00:00,0,0,63,0,8,0,0,0,0,0
2023-01-02 11:40:00+00:00,0,0,71,0,7,0,0,0,0,0
2023-01-02 11:50:00+00:00,0,0,61,0,11,0,0,0,0,0
2023-01-02 12:00:00+00:00,1,1,76,0,9,0,0,0,0,0
2023-01-02 12:10:00+00:00,0,0,75,0,2,0,0,0,1,1
2023-01-02 12:20:00+00:00,2,0,88,0,7,0,1,0,0,1
2023-01-02 12:30:00+00:00,0,1,68,0,6,0,1,1,0,0
2023-01-02 12:40:00+00:00,0,0,80,0,6,0,0,0,1,0
2023-01-02 12:50:00+00:00,1,0,67,0,8,0,0,0,0,0
2023-01-02 13:00:00+00:00,0,0,60,0,7,0,0,0,1,0
2023-01-02 13:10:00+00:00,0,0,81,0,4,0,0,0,0,0
2023-01-02 13:20:00+00:00,0,0,62,0,7,0,2,0,0,0
2023-01-02 13:30:00+00:00,0,0,66,0,2,0,0,0,0,0
2023-01-02 13:40:00+00:00,0,0,81,0,6,0,0,0,0,0
2023-01-02 13:50:00+00:00,0,0,68,0,9,0,0,0,0,0
2023-01-02 14:00:00+00:00,0,0,90,0,5,0,0,0,0,0
2023-01-02 14:10:00+00:00,0,0,104,0,7,0,0,0,0,0
