,Motorrad (R),LKW (S),LKW (R),Transporter (S),Kleintransporter (R),Kleintransporter (S),PKW (S),Fahrräder,Motorrad (S),PKW (R),Transporter (R)
2023-01-02 08:00:00+00:00,,0,,18,,1,46,14,0,,
2023-01-02 08:10:00+00:00,,2,,15,,4,30,7,1,,
2023-01-02 08:20:00+00:00,,0,,27,,0,40,10,2,,
2023-01-02 08:30:00+00:00,,2,,9,,0,43,7,0,,
2023-01-02 08:40:00+00:00,,0,,13,,0,32,11,0,,
2023-01-02 08:50:00+00:00,,3,,17,,4,35,16,1,,
2023-01-02 09:00:00+00:00,,1,,10,,0,31,11,0,,
2023-01-02 09:10:00+00:00,,0,,19,,0,31,9,0,,
2023-01-02 09:20:00+00:00,,0,,14,,0,40,9,0,,
2023-01-02 09:30:00+00:00,,1,,23,,0,36,6,0,,
2023-01-02 09:40:00+00:00,,0,,23,,2,42,8,1,,
2023-01-02 09:50:00+00:00,,0,,13,,2,46,8,0,,
2023-01-02 10:00:00+00:00,,0,,22,,1,40,12,1,,
2023-01-02 10:10:00+00:00,,3,,23,,0,41,9,0,,
2023-01-02 10:20:00+00:00,,0,,28,,0,33,15,0,,
2023-01-02 10:30:00+00:00,,1,,18,,0,30,10,2,,
2023-01-02 10:40:00+00:00,,0,,23,,0,39,11,1,,
2023-01-02 10:50:00+00:00,,2,,18,,1,64,6,0,,
2023-01-02 11:00:00+00:00,,0,,23,,0,36,11,3,,
2023-01-02 11:10:00+00:00,,1,,16,,0,45,14,1,,
2023-01-02 11:20:00+00:00,,0,,23,,0,33,14,2,,
2023-01-02 11:30:00+00:00,,1,,14,,2,33,12,0,,
2023-01-02 11:40:00+00:00,,0,,17,,1,27,13,3,,
2023-01-02 11:50:00+00:00,,0,,18,,0,26,14,0,,
2023-01-02 12:00:00+00:00,,0,,18,,0,44,17,0,,
2023-01-02 12:10:00+00:00,,1,,17,,1,37,14,0,,
2023-01-02 12:20:00+00:00,,1,,20,,2,55,17,0,,
2023-01-02 12:30:00+00:00,,3,,14,,4,36,16,1,,
2023-01-02 12:40:00+00:00,,1,,17,,2,38,15,0,,
2023-01-02 12:50:00+00:00,,0,,18,,0,54,8,4,,
2023-01-02 13:00:00+00:00,,0,,23,,1,45,6,1,,
2023-01-02 13:10:00+00:00,,1,,17,,1,36,10,1,,
2023-01-02 13:20:00+00:00,,0,,25,,0,59,8,3,,
2023-01-02 13:30:00+00:00,,0,,16,,0,34,9,0,,
2023-01-02 13:40:00+00:00,,0,,25,,0,47,6,1,,
2023-01-02 13:50:00+00:00,,0,,21,,0,42,5,1,,
2023-01-02 14:00:00+00:00,,0,,24,,0,40,9,0,,
2023-01-02 14:10:00+00:00,,1,,17,,0,54,7,0,,
2023-01-02 14:20:00+00:00,,0,,29,,0,54,14,0,,
2023-01-02 14:30:00+00:00,,0,,14,,0,57,20,0,,
2023-01-02 14:40:00+00:00,,1,,24,,0,47,20,0,,
2023-01-02 14:50:00+00:00,,1,,17,,0,53,8,0,,
2023-01-02 15:00:00+00:00,,1,,23,,2,51,8,1,,
2023-01-02 15:10:00+00:00,,0,,24,,1,32,14,1,,
2023-01-02 15:20:00+00:00,,3,,29,,2,43,9,1,,
2023-01-02 15:30:00+00:00,,0,,18,,0,51,13,0,,
2023-01-02 15:40:00+00:00,,0,,22,,0,57,21,1,,
2023-01-02 15:50:00+00:00,,0,,24,,0,50,13,2,,
2023-01-02 16:00:00+00:00,,1,,20,,0,44,8,1,,
2023-01-02 16:10:00+00:00,,1,,18,,0,46,10,2,,
2023-01-02 16:20:00+00:00,,0,,19,,0,54,13,2,,
2023-01-02 16:30:00+00:00,,0,,14,,0,50,18,1,,
2023-01-02 16:40:00+00:00,,0,,16,,0,59,16,0,,
2023-01-02 16:50:00+00:00,,2,,22,,0,32,14,0,,
2023-01-02 17:00:00+00:00,,1,,23,,0,24,14,0,,
2023-01-02 17:10:00+00:00,,4,,13,,0,25,15,2,,
2023-01-02 17:20:00+00:00,,3,,16,,1,48,10,2,,
2023-01-02 17:30:00+00:00,,4,,11,,1,35,18,0,,
2023-01-02 17:40:00+00:00,,0,,12,,0,39,8,1,,
2023-01-02 17:50:00+00:00,,0,,8,,0,38,13,3,,
2023-01-02 18:00:00+00:00,,1,,18,,0,37,12,1,,
2023-01-02 18:10:00+00:00,,2,,5,,0,25,8,0,,
2023-01-02 18:20:00+00:00,,2,,14,,0,28,10,0,,
2023-01-02 18:30:00+00:00,,2,,10,,0,31,13,0,,
2023-01-02 18:40:00+00:00,,0,,7,,0,31,7,1,,
2023-01-02 18:50:00+00:00,,1,,7,,1,23,14,0,,
2023-01-02 19:00:00+00:00,,2,,10,,0,35,5,2,,
2023-01-02 19:10:00+00:00,,5,,7,,1,32,6,2,,
2023-01-02 19:20:00+00:00,,4,,9,,1,24,8,0,,
2023-01-02 19:30:00+00:00,,5,,7,,3,25,7,1,,
2023-01-02 19:40:00+00:00,,5,,11,,0,16,5,0,,
2023-01-02 19:50:00+00:00,,1,,13,,0,24,7,0,,
2023-01-02 20:00:00+00:00,,0,,6,,3,22,2,0,,
2023-01-02 20:10:00+00:00,,1,,6,,2,23,12,1,,
2023-01-02 20:20:00+00:00,,1,,7,,1,27,8,1,,
2023-01-02 20:30:00+00:00,,2,,10,,2,40,5,0,,
2023-01-02 20:40:00+00:00,,0,,7,,1,22,6,0,,
2023-01-02 20:50:00+00:00,,5,,8,,0,22,2,0,,
2023-01-02 21:00:00+00:00,,1,,6,,0,17,5,0,,
2023-01-02 21:10:00+00:00,,1,,8,,0,16,3,0,,
2023-01-02 21:20:00+00:00,,0,,11,,2,18,5,0,,
2023-01-02 21:30:00+00:00,,0,,16,,0,22,6,0,,
2023-01-02 21:40:00+00:00,,1,,9,,0,32,4,0,,
2023-01-02 21:50:00+00:00,,0,,10,,0,21,7,2,,
2023-01-02 22:00:00+00:00,,0,,4,,0,14,3,0,,
2023-01-02 22:10:00+00:00,,0,,6,,0,10,3,0,,
2023-01-02 22:20:00+00:00,,1,,3,,1,22,6,0,,
2023-01-02 22:30:00+00:00,,3,,8,,2,13,4,1,,
2023-01-02 22:40:00+00:00,,0,,6,,0,12,2,1,,
2023-01-02 22:50:00+00:00,,7,,3,,2,12,2,2,,
2023-01-02 23:00:00+00:00,,3,,2,,1,4,6,2,,
2023-01-02 23:10:00+00:00,,3,,2,,3,3,5,0,,
2023-01-02 23:20:00+00:00,,2,,6,,3,9,3,0,,
2023-01-02 23:30:00+00:00,,1,,1,,0,10,5,0,,
2023-01-02 23:40:00+00:00,,1,,2,,0,7,0,0,,
2023-01-02 23:50:00+00:00,,1,,1,,0,5,2,0,,
2023-01-03 00:00:00+00:00,,0,,1,,1,3,2,0,,
2023-01-03 00:10:00+00:00,,5,,1,,1,7,0,0,,
2023-01-03 00:20:00+00:00,,0,,2,,1,6,3,0,,
2023-01-03 00:30:00+00:00,,2,,1,,0,7,1,0,,
2023-01-03 00:40:00+00:00,,0,,3,,1,3,1,0,,
2023-01-03 00:50:00+00:00,,0,,2,,0,7,1,0,,
2023-01-03 01:00:00+00:00,,0,,1,,0,3,2,0,,
2023-01-03 01:10:00+00:00,,2,,0,,0,3,0,0,,
2023-01-03 01:20:00+00:00,,0,,0,,1,4,0,1,,
2023-01-03 01:30:00+00:00,,5,,1,,0,4,2,0,,
2023-01-03 01:40:00+00:00,,0,,0,,1,6,0,0,,
2023-01-03 01:50:00+00:00,,3,,1,,1,4,0,2,,
2023-01-03 02:00:00+00:00,,2,,3,,1,6,0,0,,
2023-01-03 02:10:00+00:00,,1,,3,,0,3,1,0,,
2023-01-03 02:20:00+00:00,,0,,1,,0,1,0,0,,
2023-01-03 02:30:00+00:00,,1,,1,,1,2,0,0,,
2023-01-03 02:40:00+00:00,,0,,2,,0,5,0,0,,
2023-01-03 02:50:00+00:00,,1,,6,,0,2,1,0,,
2023-01-03 03:00:00+00:00,,0,,0,,0,5,1,0,,
2023-01-03 03:10:00+00:00,,2,,2,,3,3,0,0,,
2023-01-03 03:20:00+00:00,,0,,2,,0,5,0,0,,
2023-01-03 03:30:00+00:00,,3,,3,,3,1,1,1,,
2023-01-03 03:40:00+00:00,,1,,0,,4,7,2,0,,
2023-01-03 03:50:00+00:00,,0,,4,,0,0,2,0,,
2023-01-03 04:00:00+00:00,,0,,3,,0,8,3,0,,
2023-01-03 04:10:00+00:00,,1,,4,,0,7,3,0,,
2023-01-03 04:20:00+00:00,,1,,6,,0,10,1,0,,
2023-01-03 04:30:00+00:00,,0,,4,,2,15,2,1,,
2023-01-03 04:40:00+00:00,,2,,6,,2,14,3,0,,
2023-01-03 04:50:00+00:00,,0,,9,,0,28,4,1,,
2023-01-03 05:00:00+00:00,,1,,7,,0,26,8,0,,
2023-01-03 05:10:00+00:00,,1,,7,,1,22,3,0,,
2023-01-03 05:20:00+00:00,,2,,14,,0,23,3,0,,
2023-01-03 05:30:00+00:00,,1,,14,,0,23,3,2,,
2023-01-03 05:40:00+00:00,,1,,12,,3,17,7,3,,
