Timestamp;Object_Id;MQ 5.1;Object_Id_1;MQ 5.2;
05.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;495;MQ 5.2 KPB Ri Neckarstadt;582;
05.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;365;MQ 5.2 KPB Ri Neckarstadt;502;
05.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;304;MQ 5.2 KPB Ri Neckarstadt;417;
05.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;292;MQ 5.2 KPB Ri Neckarstadt;321;
05.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;184;MQ 5.2 KPB Ri Neckarstadt;272;
06.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;150;MQ 5.2 KPB Ri Neckarstadt;207;
06.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;84;MQ 5.2 KPB Ri Neckarstadt;161;
06.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;61;MQ 5.2 KPB Ri Neckarstadt;109;
06.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;48;MQ 5.2 KPB Ri Neckarstadt;67;
06.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;80;MQ 5.2 KPB Ri Neckarstadt;77;
06.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;180;MQ 5.2 KPB Ri Neckarstadt;148;
06.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;227;MQ 5.2 KPB Ri Neckarstadt;143;
06.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;273;MQ 5.2 KPB Ri Neckarstadt;117;
06.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;247;MQ 5.2 KPB Ri Neckarstadt;177;
06.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;270;MQ 5.2 KPB Ri Neckarstadt;265;
06.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;345;MQ 5.2 KPB Ri Neckarstadt;289;
06.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;409;MQ 5.2 KPB Ri Neckarstadt;356;
06.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;521;MQ 5.2 KPB Ri Neckarstadt;511;
06.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;498;MQ 5.2 KPB Ri Neckarstadt;518;
06.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;526;MQ 5.2 KPB Ri Neckarstadt;609;
06.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;476;MQ 5.2 KPB Ri Neckarstadt;724;
06.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;458;MQ 5.2 KPB Ri Neckarstadt;667;
06.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;507;MQ 5.2 KPB Ri Neckarstadt;625;
06.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;491;MQ 5.2 KPB Ri Neckarstadt;611;
06.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;400;MQ 5.2 KPB Ri Neckarstadt;538;
06.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;353;MQ 5.2 KPB Ri Neckarstadt;461;
06.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;308;MQ 5.2 KPB Ri Neckarstadt;412;
06.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;281;MQ 5.2 KPB Ri Neckarstadt;379;
06.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;244;MQ 5.2 KPB Ri Neckarstadt;345;
07.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;161;MQ 5.2 KPB Ri Neckarstadt;242;
07.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;132;MQ 5.2 KPB Ri Neckarstadt;211;
07.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;93;MQ 5.2 KPB Ri Neckarstadt;166;
07.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;88;MQ 5.2 KPB Ri Neckarstadt;119;
07.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;99;MQ 5.2 KPB Ri Neckarstadt;126;
07.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;111;MQ 5.2 KPB Ri Neckarstadt;146;
07.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;128;MQ 5.2 KPB Ri Neckarstadt;150;
07.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;166;MQ 5.2 KPB Ri Neckarstadt;157;
07.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;230;MQ 5.2 KPB Ri Neckarstadt;270;
07.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;448;MQ 5.2 KPB Ri Neckarstadt;371;
07.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;476;MQ 5.2 KPB Ri Neckarstadt;491;
07.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;555;MQ 5.2 KPB Ri Neckarstadt;558;
07.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;629;MQ 5.2 KPB Ri Neckarstadt;641;
07.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;608;MQ 5.2 KPB Ri Neckarstadt;700;
07.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;637;MQ 5.2 KPB Ri Neckarstadt;684;
07.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;646;MQ 5.2 KPB Ri Neckarstadt;666;
07.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;679;MQ 5.2 KPB Ri Neckarstadt;692;
07.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;610;MQ 5.2 KPB Ri Neckarstadt;630;
07.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;586;MQ 5.2 KPB Ri Neckarstadt;704;
07.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;499;MQ 5.2 KPB Ri Neckarstadt;628;
07.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;444;MQ 5.2 KPB Ri Neckarstadt;557;
07.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;382;MQ 5.2 KPB Ri Neckarstadt;424;
07.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;367;MQ 5.2 KPB Ri Neckarstadt;399;
07.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;281;MQ 5.2 KPB Ri Neckarstadt;374;
08.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;200;MQ 5.2 KPB Ri Neckarstadt;296;
08.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;163;MQ 5.2 KPB Ri Neckarstadt;279;
08.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;120;MQ 5.2 KPB Ri Neckarstadt;204;
08.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;88;MQ 5.2 KPB Ri Neckarstadt;153;
08.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;78;MQ 5.2 KPB Ri Neckarstadt;117;
08.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;96;MQ 5.2 KPB Ri Neckarstadt;151;
08.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;83;MQ 5.2 KPB Ri Neckarstadt;90;
08.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;71;MQ 5.2 KPB Ri Neckarstadt;88;
08.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;104;MQ 5.2 KPB Ri Neckarstadt;101;
